Item,Desc.,Quantity,Price/Unit,Total Price + Tax,                                      URL,Running total+Tax,,,,,,,,,,,,,,,,,,Tax:,109.75%
3D-Printing PLA 1.75mm Filament,Main structural material for lamp housing,~270g/(3/10),$5.40,$5.93,"No Specific URL, 270g of any PLA Filament",$5.93,,,,,,,,,,,,,,,,,,,
Jumper Wires/ Dupont Wires (Male - Female),For connecting Electrical Parts,6,               ~$0.06,$0.40,Jumper wires ,$6.33,,,,,,,,,,,,,,,,,,,
Raspberry Pi 4B 2GB Companion Computer,Main computer/board for components,1,$54.99,$60.35,Raspberry Pi,$66.68,,,,,,,,,,,,,,,,,,,
SG90 Servos,Motors for Pan rotation and Iris ,2,$6.99,$15.34,SG90's,$82.02,,,,,,,,,,,,,,,,,,,
Raspberry Pi Camera Module 2 NoIR,Camera for AI Person Detection,1,$14.99,$16.45,Camera,$98.47,,,,,,,,,,,,,,,,,,,
Bambu Lab Lamp Kit 001,Lamp module for lighting up the project,1,$6.99,$7.69,Lamp,$106.16,,,,,,,,,,,,,,,,,,,
Raspberry Pi Power Supply 5V/3A,Designated power supply for project,1,$7.99,$8.77,Power Supply,$114.93,,,,,,,,,,,,,,,,,,,
ELEGOO UNO Microcontroller,Testing microcontroller for servos,1,$14.99,$16.45,Elegoo UNO,$131.38,,,,,,,,,,,,,,,,,,,
Micro SD card 64GB,SD card for Raspberry Pi ,1,$9.99,$10.96,SD card,$142.34,,,,,,,,,,,,,,,,,,,
Hot-Glue Sticks,Glue for Gluing components Together,3,$0.08,$0.26,Hot Glue,$142.60,,,,,,,,,,,,,,,,,,,
