Item,Desc.,Quantity,Price/Unit,Total Price + Tax,                                      URL,Running total+Tax,,,,,,,,,,,,,,,,,,Tax:,109.75%
3D-Printing PLA 1.75mm Filament,Main structural material for lamp housing,~270g/(3/10),$5.40,$5.93,"No Specific URL, 270g of any PLA Filament",$5.93,,,,,,,,,,,,,,,,,,,
Jumper Wires/ Dupont Wires (Male - Female),For connecting Electrical Parts,6,               ~$0.06,$0.40,http://amazon.com/EDGELEC-Breadboard-Optional-Assorted-Multicolored/dp/B07GD1XFWV/ref=sr_1_1?crid=2XL1XX3UVOZFH&dib=eyJ2IjoiMSJ9.BCNOUzF5oy-3VP6HV7wURP_ev6FGw8aJWRI9n4tj_acw8yguvqB2dYJdbEpj6pS80TtjnIOWufZ4GomWajMGJQyhD8Bp1L0_JKkOtQ3GU5CDlvw-X2_kQPnkX677idvyevW4gKP6GpO7CVrJQyIUmZElKLvN8vHtDDt-tskBWByKIT-gna25YXGKXN4BTTzTsMcFw3xdZSyIXpttNX8J9PBybf0rxHtNSQK06L_Dkoo.sWIdnzRJfTianqIyaaWscGUJXDAsKJ2d13f8DarcPhQ&dib_tag=se&keywords=30+dupont+wires&qid=1770860295&sprefix=30+dupont+wires%2Caps%2C359&sr=8-1,$6.33,,,,,,,,,,,,,,,,,,,
Raspberry Pi 4B 2GB Companion Computer,Main computer/board for components,1,$54.99,$60.35,https://www.microcenter.com/product/621439/raspberry-pi-4-model-b,$66.68,,,,,,,,,,,,,,,,,,,
SG90 Servos,Motors for Pan rotation and Iris ,2,$6.99,$15.34,https://www.amazon.com/Sipytoph-Helicopter-Airplane-Walking-Control/dp/B09185SC1W/ref=sxin_19_pa_sp_search_thematic_sspa?content-id=amzn1.sym.292df443-b323-44ae-8b40-9a666975b8b5%3Aamzn1.sym.292df443-b323-44ae-8b40-9a666975b8b5&crid=OBSHO98SGVS1&cv_ct_cx=sg90+micro+servo&keywords=sg90+micro+servo&pd_rd_i=B09185SC1W&pd_rd_r=e852a2bc-ffb0-4e20-94be-8a1d075b5992&pd_rd_w=6vnHo&pd_rd_wg=7qWOL&pf_rd_p=292df443-b323-44ae-8b40-9a666975b8b5&pf_rd_r=CXYJM3YVFJ0YD9DK27MS&qid=1783406010&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=sg90%2Caps%2C211&sr=1-3-6024b2a3-78e4-4fed-8fed-e1613be3bcce-spons&aref=58OXXlyCyn&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1,$82.02,,,,,,,,,,,,,,,,,,,
Raspberry Pi Camera Module 2 NoIR,Camera for AI Person Detection,1,$14.99,$16.45,https://www.microcenter.com/product/689245/element-14-raspberry-pi-camera-v2-noir,$98.47,,,,,,,,,,,,,,,,,,,
Bambu Lab Lamp Kit 001,Lamp module for lighting up the project,1,$6.99,$7.69,https://www.amazon.com/Howarx-Printer-Compatible-Makerworld-Hardware/dp/B0DHH4JZWW/ref=sr_1_1?crid=28UT58YODSS8C&dib=eyJ2IjoiMSJ9.QjPjmG9m89TKFzKhToBHnlDcHHyTx1aw_eCiZ7MA_SKZixeopauXZmhzO2nTqMpJCatzN-hBQ1B1crB0TMCt-FHJbzzjaQxwEAAE2iCusnWH2ODPtxCB4MXN5rXbMiahjDbKhquB89M1QNR_dQvKfAdjRT1m829GslejrxdXFWg7frmxGqr7GszWeEkiu5ekjVAwboEQ2gq-iyvxc6cu_GurS_kDtCt7Wvggezi7U6A.EkEGOeee0Vpifu4dYN-BBSRwFYsGVwLGd6vdTn674lg&dib_tag=se&keywords=bambu+lab+lamp+kit+001&qid=1783406280&sprefix=Bambu+lab+lamp+k%2Caps%2C373&sr=8-1,$106.16,,,,,,,,,,,,,,,,,,,
Raspberry Pi Power Supply 5V/3A,Designated power supply for project,1,$7.99,$8.77,https://www.microcenter.com/product/608170/raspberry-pi-4-official-15w-power-supply-us-black,$114.93,,,,,,,,,,,,,,,,,,,
ELEGOO UNO Microcontroller,Testing microcontroller for servos,1,$14.99,$16.45,https://www.amazon.com/ELEGOO-Board-ATmega328P-ATMEGA16U2-Compliant/dp/B01EWOE0UU/ref=sr_1_5?dib=eyJ2IjoiMSJ9._L3JiWgIo_Asrnpq9JBCAmbZNpzhUtCW8KyrzU3U4QBc-KNQFIvDBbcuX6JZ2uP2lFngOivKJUCTSAx4yVrxLIZTsOjdxn4BXdTkKUupVgB1srnIYMM0o7vNrQzILEyZ8FxdJdMrcnjC_elTtWapy8w4xG1zsBwQ-wJUw0JvNFMBXOGcZBj4-2cmiodlfgVXGIKRW4qgQ6iunutfNbrN2CvKiDGYP2rbEeV5BjgxSok.OQujwIjWeRUgOlUuJf07ede66DkAA0RaZIDgLlALJT8&dib_tag=se&keywords=elegoo+uno&qid=1783406657&sr=8-5,$131.38,,,,,,,,,,,,,,,,,,,
Micro SD card 64GB,SD card for Raspberry Pi ,1,$9.99,$10.96,https://www.microcenter.com/product/705002/verbatim-64gb-premium-microsdxc-class-10-uhs-1-flash-memory-card-with-adapter,$142.34,,,,,,,,,,,,,,,,,,,
Hot-Glue Sticks,Glue for Gluing components Together,3,$0.08,$0.26,https://www.amazon.com/Mini-Glue-Sticks-Bulk-Pack/dp/B0BD955Z36/ref=sr_1_2_sspa?crid=23DUY268M403H&dib=eyJ2IjoiMSJ9.2eDfQVcBbpqJfTAzC-hl-8jtfMOFb8GAD54HeSmZePp0qN8aV7BeCTzWa-xXfbqNLjqXWj91WWD6L8jyvvI6MuvlBFBGdHOVqLTZ9ZATd3Xwq2rKwZE9a67TUCmuWjl79fqPCMtXoiRhZQ3y_pqhJdiVOdFcivSdQXoYhyEhyJqviAhsDF6RrW0dom-hiH1jf3NIwZIrqbpIjT9H6v-3Qh73wXwoVFoO8i-scw6djd3ruVRe24DqveqGKMDMgQgn1gfENfysFWcCKHUJfkC2Bv3MHNd3j-NSSlGTBuonvOM.GydSq-mL2_gqPBf7-tKmBUnv4aDxGIlLa1cMJjtFJiQ&dib_tag=se&keywords=hot%2Bglue%2Bsticks&qid=1770860958&sprefix=hot%2Bglue%2Bstick%2Caps%2C246&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,$142.60,,,,,,,,,,,,,,,,,,,
